,0,1,2,3,4,5,6,7,8,9,10,11
gyp_train_12s_3336-2883,0.0076347613,0.013433637,0.010550877,0.012792796,0.014598765,0.01235877,0.013262774,0.015589252,0.014368342,0.012447625,0.015543143,0.8574192
albite_train_015s_5250-2857,0.017894689,0.7302147,0.017601976,0.023237953,0.019821372,0.019558772,0.022011988,0.02267203,0.019781819,0.062250976,0.024616856,0.020336812
bt_train_120s_1225-1060,0.012769274,0.017863406,0.01840554,0.8117616,0.016293501,0.01667029,0.017749816,0.016643245,0.01866962,0.018729059,0.018119259,0.016325291
albite_train_015s_625-257,0.02027643,0.6229955,0.020815466,0.02827488,0.027053231,0.028358012,0.027625043,0.027358739,0.04245021,0.08969427,0.034687646,0.030410618
qtz_train_003s_4760-1943,0.62192416,0.0345621,0.034392048,0.03593386,0.032910015,0.0352214,0.03200093,0.031136869,0.03512423,0.044513587,0.03347421,0.028806716
hb_train_015s_2500-1031,0.019881634,0.015396206,0.7316933,0.031417083,0.023354763,0.021179259,0.015894268,0.022299504,0.030410364,0.037869792,0.027256913,0.023346864
en_train_015s_5600-5461,0.01419795,0.018590532,0.018573498,0.018316852,0.016519926,0.015231266,0.014067995,0.82198286,0.013305954,0.017592762,0.016721338,0.014899005
bt_train_015s_5600-2244,0.025033608,0.024304444,0.02985565,0.71929944,0.023061046,0.025914554,0.020582529,0.02538504,0.028931493,0.030246539,0.024494551,0.02289127
aug_train_030s_5600-5075,0.01871775,0.020630956,0.020456932,0.020940393,0.019963376,0.020232385,0.7777129,0.020389324,0.024332581,0.019405019,0.019851843,0.017366659
bt_train_015s_5600-397,0.026347775,0.027201166,0.026765544,0.7276124,0.024371706,0.02520909,0.020561662,0.026248297,0.026318688,0.023292227,0.02505941,0.021012187
qtz_train_003s-1599-576,0.66800237,0.032709274,0.027665915,0.024839247,0.029050678,0.032244172,0.028527021,0.031894907,0.031643827,0.03717314,0.029557146,0.026692428
cal_train_1s_2732-2335,0.013656463,0.015832897,0.017435538,0.01544409,0.013992682,0.015162616,0.014396003,0.015235467,0.014026705,0.02211507,0.8278101,0.014892434
qtz_train_003s_4760-4150,0.6268086,0.036419522,0.035927977,0.03438365,0.032886147,0.034283973,0.029685987,0.03263109,0.03392598,0.042029176,0.03234084,0.028677113
cal_train_1s_2732-1675,0.01614404,0.017950455,0.01250533,0.013960379,0.0147687625,0.01449019,0.019105243,0.014721269,0.014102166,0.02314576,0.823763,0.015343392
mc_train_015s_5600-1743,0.012372841,0.021900754,0.015451931,0.012088283,0.011678854,0.014491669,0.01464786,0.014676055,0.017301392,0.8340617,0.015675178,0.015653383
bt_train_015s_5600-264,0.024152223,0.025278898,0.022809697,0.7385219,0.02194062,0.023160364,0.021983443,0.0239857,0.0229804,0.031743255,0.022805478,0.020638136
fo_train_030s_5040-4299,0.012015225,0.018946212,0.03470944,0.016227847,0.016345616,0.8160363,0.009184695,0.014001521,0.0146085005,0.015869675,0.015068939,0.01698612
albite_train_015s_5250-2820,0.011414897,0.75971586,0.02119372,0.028175572,0.017196322,0.018100206,0.03062366,0.020617414,0.017908284,0.03504214,0.021534387,0.0184776
fo_train_030s_5040-3369,0.016700257,0.017296605,0.015568144,0.020965995,0.017455563,0.802408,0.016938152,0.017401805,0.019364057,0.022054002,0.01810617,0.015741242
mc_train_015s_5600-713,0.042396855,0.026091069,0.032239087,0.024219379,0.04524688,0.03354686,0.06320574,0.041629087,0.049775466,0.55851614,0.043726917,0.03940658
an_train_015s_5600-4248,0.03571215,0.02571735,0.022843892,0.033605054,0.026698474,0.028690804,0.029033314,0.028067145,0.6724531,0.041891694,0.029709974,0.025577057
